chart_position,artist,song
75,Foy Vance,"guiding light (anniversary edition) [feat. ed sheeran, elton john & keith urban]"
76,Bryce Savage,curiosity
77,Vance Joy,riptide
78,Uncle Lucius,keep the wolves away
79,Foo Fighters,everlong
80,R.E.M.,losing my religion
81,Snow Patrol,chasing cars
82,Fall Out Boy,"sugar, we're goin down"
83,Nirvana,smells like teen spirit
84,Talking Heads,psycho killer
85,Billy Idol,dancing with myself
86,Nirvana,come as you are
87,Blue October,hate me
88,twenty one pilots,stressed out
89,Panic! At the Disco,high hopes
90,Talking Heads,once in a lifetime
91,Candlebox,far behind
92,Gorillaz,feel good inc.
93,Coldplay,fix you
94,Red Hot Chili Peppers,can't stop
95,Bowling for Soup,girl all the bad guys want
96,The Revivalists,good old days
97,boygenius,cool about it
98,Taylor Swift,august
99,AJR,bang!
100,AWOLNATION,sail
